model_raw,model,family,params_b,language,split,accuracy,stderr,n_problems,english_accuracy,english_stderr,english_n_problems,transfer_gap,transfer_gap_stderr,performance_recovered,performance_recovered_stderr,language_name,typological_distance_from_english,typological_feature_set,common_crawl_language,common_crawl_crawl,common_crawl_pages,resource_source_path,log10_common_crawl_pages,tokenizer_repo,fertility_tokens_per_character,english_fertility_tokens_per_character,normalized_fertility,n_matched_questions,token_count,non_whitespace_character_count,english_token_count,english_non_whitespace_character_count
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,ara,original,0.03,0.0171446607997765,100,0.42,0.0496044963748858,100,0.39,0.05248376372313109,0.07142857142857142,0.04168322844274296,ara,0.34901322303461213,URIEL syntax_knn,ara,CC-MAIN-2026-21,14123579,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,7.149944763500101,Qwen/Qwen2.5-0.5B-Instruct,0.5197614136796923,0.3110715194706032,1.6708743203628793,100,9324,17939,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,ara,synthetic,0.011,0.0023328568559933,2000,0.3865,0.0108911975508685,2000,0.3755,0.01113824066909128,0.028460543337645534,0.006088899755838554,ara,0.34901322303461213,URIEL syntax_knn,ara,CC-MAIN-2026-21,14123579,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,7.149944763500101,Qwen/Qwen2.5-0.5B-Instruct,0.5197614136796923,0.3110715194706032,1.6708743203628793,100,9324,17939,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,dan,original,0.01,0.01,100,0.42,0.0496044963748858,100,0.41,0.05060243137049897,0.02380952380952381,0.02397500841117199,Danish,0.11992176734660287,URIEL syntax_knn,dan,CC-MAIN-2026-21,11404389,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,7.057072022533615,Qwen/Qwen2.5-0.5B-Instruct,0.4247255749267372,0.3110715194706032,1.3653631025095323,100,8551,20133,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,dan,synthetic,0.015,0.0027186753387999,2000,0.3865,0.0108911975508685,2000,0.3715,0.01122538995713925,0.03880983182406209,0.007118596673551561,Danish,0.11992176734660287,URIEL syntax_knn,dan,CC-MAIN-2026-21,11404389,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,7.057072022533615,Qwen/Qwen2.5-0.5B-Instruct,0.4247255749267372,0.3110715194706032,1.3653631025095323,100,8551,20133,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,deu,original,0.04,0.0196946385566932,100,0.42,0.0496044963748858,100,0.38,0.05337119867948297,0.09523809523809525,0.048222204534718836,German,0.09745802098497969,URIEL syntax_knn,deu,CC-MAIN-2026-21,129221452,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,8.111334616692115,Qwen/Qwen2.5-0.5B-Instruct,0.36802278999376836,0.3110715194706032,1.1830809539236753,100,8268,22466,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,deu,synthetic,0.0555,0.0051208384560779,2000,0.3865,0.0108911975508685,2000,0.331,0.012034997739313883,0.14359637774902975,0.013853384712541201,German,0.09745802098497969,URIEL syntax_knn,deu,CC-MAIN-2026-21,129221452,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,8.111334616692115,Qwen/Qwen2.5-0.5B-Instruct,0.36802278999376836,0.3110715194706032,1.1830809539236753,100,8268,22466,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,est,original,0.0,0.0,100,0.42,0.0496044963748858,100,0.42,0.0496044963748858,0.0,0.0,est,0.22659791675913576,URIEL syntax_knn,est,CC-MAIN-2026-21,3089989,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,6.489956933389947,Qwen/Qwen2.5-0.5B-Instruct,0.4884087994475683,0.3110715194706032,1.5700852340283882,100,9902,20274,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,est,synthetic,0.0085,0.0020532859010609,2000,0.3865,0.0108911975508685,2000,0.378,0.011083057659488174,0.02199223803363519,0.005348535975444416,est,0.22659791675913576,URIEL syntax_knn,est,CC-MAIN-2026-21,3089989,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,6.489956933389947,Qwen/Qwen2.5-0.5B-Instruct,0.4884087994475683,0.3110715194706032,1.5700852340283882,100,9902,20274,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,fra,original,0.09,0.0287623491264661,100,0.42,0.0496044963748858,100,0.32999999999999996,0.0573400277980294,0.21428571428571427,0.07300870247027455,French,0.18824593690905445,URIEL syntax_knn,fra,CC-MAIN-2026-21,102728618,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,8.011691445624011,Qwen/Qwen2.5-0.5B-Instruct,0.372296302903269,0.3110715194706032,1.1968189937055669,100,8348,22423,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,fra,synthetic,0.0515,0.0049432876758816,2000,0.3865,0.0108911975508685,2000,0.335,0.011960529968967383,0.1332470892626132,0.013329639905840551,French,0.18824593690905445,URIEL syntax_knn,fra,CC-MAIN-2026-21,102728618,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,8.011691445624011,Qwen/Qwen2.5-0.5B-Instruct,0.372296302903269,0.3110715194706032,1.1968189937055669,100,8348,22423,6111,19645
