language,split,complete,expected,scored,correct,accuracy,parse_failures,truncated,api_errors
ara,original,True,100,100,96,0.96,0,0,0
ara,synthetic,False,2000,1995,1947,0.9759398496240601,0,0,5
dan,original,True,100,100,96,0.96,0,0,0
deu,original,True,100,100,99,0.99,0,0,0
eng,original,True,100,100,98,0.98,0,0,0
dan,synthetic,False,2000,1994,1927,0.9663991975927784,0,0,6
deu,synthetic,False,2000,1999,1925,0.9629814907453726,0,0,1
est,original,True,100,100,99,0.99,0,0,0
fra,original,True,100,100,99,0.99,0,0,0
hin,original,True,100,100,96,0.96,0,0,0
eng,synthetic,True,2000,2000,1975,0.9875,0,0,0
est,synthetic,False,2000,1994,1954,0.9799398194583752,0,0,6
fra,synthetic,False,2000,1991,1891,0.9497739829231542,0,0,9
isl,original,False,100,99,98,0.98989898989899,0,0,1
ita,original,True,100,100,97,0.97,0,0,0
hin,synthetic,False,2000,1982,1918,0.9677093844601413,0,0,18
isl,synthetic,False,2000,1989,1918,0.9643036701860231,0,0,11
jpn,original,True,100,100,98,0.98,0,0,0
mar,original,True,100,100,98,0.98,0,0,0
ita,synthetic,False,2000,1995,1942,0.9734335839598998,0,0,5
jpn,synthetic,False,2000,1959,1879,0.9591628381827463,0,0,41
nld,original,True,100,100,97,0.97,0,0,0
rus,original,True,100,100,96,0.96,0,0,0
mar,synthetic,False,2000,1975,1907,0.9655696202531645,0,0,25
nld,synthetic,False,2000,1980,1882,0.9505050505050505,0,0,20
rus,synthetic,False,2000,1996,1849,0.9263527054108216,0,0,4
ukr,original,True,100,100,96,0.96,0,0,0
zho,original,True,100,100,98,0.98,0,0,0
ukr,synthetic,False,2000,1997,1915,0.9589384076114171,0,0,3
zho,synthetic,False,2000,1997,1962,0.9824737105658488,0,0,3
