model,family,language,accuracy,params_b,log10_resource
Qwen3.5-4B,Qwen3.5,dan,0.47199,4.66,7.0571
Qwen3.5-4B,Qwen3.5,deu,0.56553,4.66,8.1113
Qwen3.5-4B,Qwen3.5,eng,0.20503,4.66,8.9465
Qwen3.5-4B,Qwen3.5,nld,0.43789,4.66,7.5967
Qwen3.5-4B,Qwen3.5,isl,0.29678,4.66,5.8904
Qwen3.5-9B,Qwen3.5,dan,0.52456,9.653,7.0571
Qwen3.5-9B,Qwen3.5,eng,0.55072,9.653,8.9465
Qwen3.5-9B,Qwen3.5,deu,0.46675,9.653,8.1113
Qwen3.5-9B,Qwen3.5,nld,0.47692,9.653,7.5967
Qwen3.5-9B,Qwen3.5,isl,0.36462,9.653,5.8904
Qwen3.5-27B,Qwen3.5,dan,0.52121,27.781,7.0571
Qwen3.5-27B,Qwen3.5,eng,0.81987,27.781,8.9465
Qwen3.5-27B,Qwen3.5,deu,0.62231,27.781,8.1113
Qwen3.5-27B,Qwen3.5,nld,0.55526,27.781,7.5967
Qwen3.5-27B,Qwen3.5,isl,0.49294,27.781,5.8904
EuroLLM-1.7B-Instruct,EuroLLM,dan,0.01799,1.657,7.0571
EuroLLM-1.7B-Instruct,EuroLLM,eng,0.07393,1.657,8.9465
EuroLLM-1.7B-Instruct,EuroLLM,deu,0.01086,1.657,8.1113
EuroLLM-1.7B-Instruct,EuroLLM,nld,0.04438,1.657,7.5967
EuroLLM-1.7B-Instruct,EuroLLM,isl,0.01727,1.657,5.8904
EuroLLM-9B-Instruct-2512,EuroLLM,dan,0.41357,9.152,7.0571
EuroLLM-9B-Instruct-2512,EuroLLM,eng,0.42952,9.152,8.9465
EuroLLM-9B-Instruct-2512,EuroLLM,deu,0.29569,9.152,8.1113
EuroLLM-9B-Instruct-2512,EuroLLM,nld,0.38818,9.152,7.5967
EuroLLM-9B-Instruct-2512,EuroLLM,isl,0.25093,9.152,5.8904
EuroLLM-22B-Instruct-2512,EuroLLM,dan,0.39172,22.637,7.0571
EuroLLM-22B-Instruct-2512,EuroLLM,eng,0.48693,22.637,8.9465
EuroLLM-22B-Instruct-2512,EuroLLM,deu,0.39468,22.637,8.1113
EuroLLM-22B-Instruct-2512,EuroLLM,nld,0.48599,22.637,7.5967
EuroLLM-22B-Instruct-2512,EuroLLM,isl,0.22033,22.637,5.8904
