model,language,tokenizer_fertility,english_fertility_tokens_per_character
Apertus-70B-Instruct-2509,ara,0.4276158091309437,0.3180962076864342
Apertus-70B-Instruct-2509,dan,0.4069051167411823,0.3180962076864342
Apertus-70B-Instruct-2509,deu,0.3289866037651875,0.3180962076864342
Apertus-70B-Instruct-2509,eng,0.3180962076864342,0.3180962076864342
Apertus-70B-Instruct-2509,eng_metric,0.3166430881164107,0.3180962076864342
Apertus-70B-Instruct-2509,est,0.4369142744401696,0.3180962076864342
Apertus-70B-Instruct-2509,fra,0.3289925522900593,0.3180962076864342
Apertus-70B-Instruct-2509,hin,0.5126067302862883,0.3180962076864342
Apertus-70B-Instruct-2509,isl,0.4965169349027143,0.3180962076864342
Apertus-70B-Instruct-2509,ita,0.3503722534955511,0.3180962076864342
Apertus-70B-Instruct-2509,jpn,0.8076090876307248,0.3180962076864342
Apertus-70B-Instruct-2509,mar,0.5636978057587261,0.3180962076864342
Apertus-70B-Instruct-2509,nld,0.3672172218613714,0.3180962076864342
Apertus-70B-Instruct-2509,nob,0.4016849706634572,0.3180962076864342
Apertus-70B-Instruct-2509,rus,0.3994160858918817,0.3180962076864342
Apertus-70B-Instruct-2509,ukr,0.4738737895869392,0.3180962076864342
Apertus-70B-Instruct-2509,uncorrected_isl,0.4965169349027143,0.3180962076864342
Apertus-70B-Instruct-2509,zho,1.1658208576503426,0.3180962076864342
Apertus-8B-Instruct-2509,ara,0.4276158091309437,0.3180962076864342
Apertus-8B-Instruct-2509,dan,0.4069051167411823,0.3180962076864342
Apertus-8B-Instruct-2509,deu,0.3289866037651875,0.3180962076864342
Apertus-8B-Instruct-2509,eng,0.3180962076864342,0.3180962076864342
Apertus-8B-Instruct-2509,eng_metric,0.3166430881164107,0.3180962076864342
Apertus-8B-Instruct-2509,est,0.4369142744401696,0.3180962076864342
Apertus-8B-Instruct-2509,fra,0.3289925522900593,0.3180962076864342
Apertus-8B-Instruct-2509,hin,0.5126067302862883,0.3180962076864342
Apertus-8B-Instruct-2509,isl,0.4965169349027143,0.3180962076864342
Apertus-8B-Instruct-2509,ita,0.3503722534955511,0.3180962076864342
Apertus-8B-Instruct-2509,jpn,0.8076090876307248,0.3180962076864342
Apertus-8B-Instruct-2509,mar,0.5636978057587261,0.3180962076864342
Apertus-8B-Instruct-2509,nld,0.3672172218613714,0.3180962076864342
Apertus-8B-Instruct-2509,nob,0.4016849706634572,0.3180962076864342
Apertus-8B-Instruct-2509,rus,0.3994160858918817,0.3180962076864342
Apertus-8B-Instruct-2509,ukr,0.4738737895869392,0.3180962076864342
Apertus-8B-Instruct-2509,uncorrected_isl,0.4965169349027143,0.3180962076864342
Apertus-8B-Instruct-2509,zho,1.1658208576503426,0.3180962076864342
EuroLLM-1.7B-Instruct,ara,0.5045431740899716,0.3297022143038941
EuroLLM-1.7B-Instruct,dan,0.3637853949329359,0.3297022143038941
EuroLLM-1.7B-Instruct,deu,0.3222217277137389,0.3297022143038941
EuroLLM-1.7B-Instruct,eng,0.3297022143038941,0.3297022143038941
EuroLLM-1.7B-Instruct,eng_metric,0.3286176232821342,0.3297022143038941
EuroLLM-1.7B-Instruct,est,0.378465029101312,0.3297022143038941
EuroLLM-1.7B-Instruct,fra,0.3524952058154573,0.3297022143038941
EuroLLM-1.7B-Instruct,hin,0.4663987945755901,0.3297022143038941
EuroLLM-1.7B-Instruct,isl,0.5091520538073505,0.3297022143038941
EuroLLM-1.7B-Instruct,ita,0.327673869620483,0.3297022143038941
EuroLLM-1.7B-Instruct,jpn,0.7547782185358817,0.3297022143038941
EuroLLM-1.7B-Instruct,mar,0.5778631608184427,0.3297022143038941
EuroLLM-1.7B-Instruct,nld,0.3260647675605456,0.3297022143038941
EuroLLM-1.7B-Instruct,nob,0.3641743142269695,0.3297022143038941
EuroLLM-1.7B-Instruct,rus,0.3601902429836127,0.3297022143038941
EuroLLM-1.7B-Instruct,ukr,0.4144641437058521,0.3297022143038941
EuroLLM-1.7B-Instruct,zho,1.058614564831261,0.3297022143038941
EuroLLM-22B-Instruct-2512,ara,0.5045431740899716,0.3297022143038941
EuroLLM-22B-Instruct-2512,dan,0.3637853949329359,0.3297022143038941
EuroLLM-22B-Instruct-2512,deu,0.3222217277137389,0.3297022143038941
EuroLLM-22B-Instruct-2512,eng,0.3297022143038941,0.3297022143038941
EuroLLM-22B-Instruct-2512,eng_metric,0.3286176232821342,0.3297022143038941
EuroLLM-22B-Instruct-2512,est,0.378465029101312,0.3297022143038941
EuroLLM-22B-Instruct-2512,fra,0.3524952058154573,0.3297022143038941
EuroLLM-22B-Instruct-2512,hin,0.4663987945755901,0.3297022143038941
EuroLLM-22B-Instruct-2512,isl,0.5091520538073505,0.3297022143038941
EuroLLM-22B-Instruct-2512,ita,0.327673869620483,0.3297022143038941
EuroLLM-22B-Instruct-2512,jpn,0.7547782185358817,0.3297022143038941
